City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
386,Maiduguri,NG,11.8464,13.1603,75.47,12,57,7.85,broken clouds
387,Pantai Remis,MY,4.4557,100.6288,75.22,84,100,2.66,overcast clouds
388,Port Lincoln,AU,-34.7333,135.8667,69.51,67,0,13.47,clear sky
389,Jinchang,CN,38.4953,102.1739,11.14,48,0,4.54,clear sky
390,Boyolangu,ID,-8.1181,111.8935,74.61,90,100,0.87,overcast clouds
391,Homer,US,59.6425,-151.5483,35.04,90,80,8.7,broken clouds
392,Kodinsk,RU,58.6881,99.1844,14.38,92,100,8.1,overcast clouds
393,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,96.08,31,79,6.31,light rain
394,Pahrump,US,36.2083,-115.9839,58.24,23,0,11.99,clear sky
395,Bundaberg,AU,-24.85,152.35,79.21,91,100,3.0,overcast clouds
396,Gamprin,LI,47.2204,9.5094,33.4,89,97,1.01,overcast clouds
397,Ginda,IN,30.6945,78.4932,40.5,25,0,9.73,clear sky
398,Nome,US,64.5011,-165.4064,-0.33,85,20,9.22,mist
399,Kalmunai,LK,7.4167,81.8167,75.33,83,100,7.67,light rain
400,Tuscaloosa,US,33.2098,-87.5692,50.56,53,11,4.0,few clouds
401,Bentiu,SS,9.2333,29.8333,78.66,18,12,5.77,few clouds
402,Burnie,AU,-41.0667,145.9167,58.95,91,46,7.38,light rain
403,Kendari,ID,-3.945,122.4989,75.49,91,100,2.46,heavy intensity rain
404,Eyemouth,GB,55.8713,-2.0901,40.23,83,15,11.63,few clouds
405,Sonoita,MX,31.85,-112.8333,58.41,19,0,22.88,clear sky
406,Laviana,ES,43.2333,-5.5333,46.49,100,100,3.98,overcast clouds
407,Aswan,EG,24.0934,32.907,63.7,29,0,4.61,clear sky
408,Evensk,RU,61.95,159.2333,8.42,42,99,28.97,overcast clouds
409,Auxerre,FR,47.8,3.5667,36.63,97,100,11.83,overcast clouds
410,Neijiang,CN,29.5835,105.0622,42.82,65,98,3.29,overcast clouds
411,Puerto El Triunfo,SV,13.2833,-88.55,86.09,55,96,5.21,overcast clouds
412,Bira,RU,49.0,132.4667,-26.93,94,35,4.45,scattered clouds
413,Acurenam,GQ,1.0322,10.6488,69.53,97,98,5.12,overcast clouds
414,Chapais,CA,49.7834,-74.8492,8.38,91,100,10.87,overcast clouds
415,Balkanabat,TM,39.5108,54.3671,32.59,42,0,2.06,clear sky
416,Half Moon Bay,US,37.4636,-122.4286,68.61,36,0,9.22,clear sky
417,Dong Hoi,VN,17.4833,106.6,65.08,93,100,8.61,overcast clouds
418,Buta,CD,2.7858,24.73,72.19,66,21,2.37,few clouds
419,Puerto Ayacucho,VE,5.6639,-67.6236,88.7,42,6,5.35,clear sky
420,Pilot Butte,CA,50.4668,-104.4178,37.02,82,75,34.52,broken clouds
421,Parlakimidi,IN,18.7667,84.0833,64.89,69,79,4.23,broken clouds
422,Poum,NC,-20.2333,164.0167,81.39,78,2,3.71,clear sky
423,Arlit,NE,18.7369,7.3853,74.73,12,15,8.84,few clouds
424,Tamandare,BR,-8.7597,-35.1047,79.7,74,1,10.56,clear sky
425,Kyaikkami,MM,16.08,97.5675,72.73,74,1,4.9,clear sky
426,Barauna,BR,-5.08,-37.6167,81.5,68,66,13.11,broken clouds
427,Maceio,BR,-9.6658,-35.7353,80.04,83,0,11.5,clear sky
428,San Joaquin,US,37.9333,-121.3011,64.83,56,0,0.92,clear sky
429,Ostrovnoy,RU,68.0531,39.5131,24.22,89,93,22.75,light snow
430,Newport Beach,US,33.6189,-117.9289,72.16,23,0,11.01,clear sky
431,Newcastle,AU,-32.9272,151.7765,78.82,92,75,12.66,broken clouds
432,Winslow,US,35.0242,-110.6974,36.66,31,0,11.54,clear sky
433,Ahipara,NZ,-35.1667,173.1667,71.11,92,100,10.74,light rain
434,Cabo San Lucas,MX,22.8909,-109.9124,77.61,51,78,9.4,broken clouds
435,Sinnamary,GF,5.3833,-52.95,74.75,85,90,7.61,overcast clouds
436,Svetlaya,RU,46.5389,138.3297,-0.62,81,54,8.19,broken clouds
437,Linares,CL,-35.85,-71.6,85.91,13,0,7.27,clear sky
438,Padang,ID,-0.9492,100.3543,77.05,88,100,2.17,light rain
439,North Platte,US,41.1239,-100.7654,35.11,72,18,13.0,few clouds
