City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
413,Ballitoville,ZA,78.94,clear sky,-29.539,31.2144,The Vineyard On Ballito
416,Camana,PE,72.01,broken clouds,-16.6228,-72.7111,Caja Arequipa
419,Mecca,SA,72.01,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
421,Salalah,OM,73.49,clear sky,17.0151,54.0924,Muscat International Hotel
432,Omboue,GA,75.49,light rain,-1.5746,9.2618,Georges Faustin Aurat
437,Barra Do Garcas,BR,76.98,broken clouds,-15.89,-52.2567,Pousada Portal
452,Cayenne,GF,77.04,scattered clouds,4.9333,-52.3333,Central Hôtel
453,Porto Novo,BJ,82.22,broken clouds,6.4965,2.6036,Hôtel 6500 CFA
459,Trinidad,BO,82.38,scattered clouds,-14.8333,-64.9,Hotel Palace
466,Waingapu,ID,77.85,moderate rain,-9.6567,120.2641,HOTEL SANDLEWOOD
467,Kahului,US,82.98,few clouds,20.8947,-156.47,Maui Seaside Hotel
468,Kimberley,ZA,76.03,overcast clouds,-28.7323,24.7623,Royal Paume Hotel
471,Santa Maria,BR,83.5,few clouds,-29.6842,-53.8069,Hotel Morotin
477,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Marry's Motel
478,Bintulu,MY,73.81,few clouds,3.1667,113.0333,Bakun Inn
483,Grand Gaube,MU,78.39,very heavy rain,-20.0064,57.6608,Coco Villa
485,Kawalu,ID,70.63,overcast clouds,-7.3817,108.2082,Hotel Surya
486,San Luis,AR,89.51,few clouds,-33.295,-66.3356,Hotel Dos Venados
487,Chibuto,MZ,74.77,broken clouds,-24.6867,33.5306,DESHENG
488,Sampit,ID,73.8,light rain,-2.5333,112.95,Hotel Sultan
491,Buta,CD,70.74,broken clouds,2.7858,24.73,Hôtel Rubi
493,Nova Olimpia,BR,78.53,scattered clouds,-14.7972,-57.2881,Olímpia Hotel
495,Celestun,MX,77.29,clear sky,20.8667,-90.4,Hotel Flamingo Playa
496,Podor,MR,75.0,scattered clouds,16.6527,-14.9587,La Cour du Fleuve
499,Souillac,MU,77.38,heavy intensity rain,-20.5167,57.5167,Hotel SkylineInn
504,Mogadishu,SO,77.14,overcast clouds,2.0371,45.3438,SYL Hotel
521,Porto Murtinho,BR,82.13,moderate rain,-21.6989,-57.8825,Hotel Saladero Cuê
524,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,Hotel Candra Adiguna
528,Hambantota,LK,71.49,few clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
532,Rockport,US,70.0,clear sky,28.0206,-97.0544,Holiday Inn Express & Suites
533,Imbituba,BR,73.33,overcast clouds,-28.24,-48.6703,Silvestre Praia Hotel
539,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,losmen Surya
542,Savannah Bight,HN,79.83,light rain,16.45,-85.85,La Giralda
556,Vieques,PR,79.11,few clouds,18.425,-65.8329,Hyatt Regency Grand Reserve Puerto Rico
565,Kloulklubed,PW,75.7,broken clouds,7.0419,134.2556,The Adventures Inn
572,Diamantino,BR,74.14,broken clouds,-14.4086,-56.4461,Hotel kayaby
574,Puerto Baquerizo Moreno,EC,77.99,scattered clouds,-0.9,-89.6,Dory's House
578,Port Dickson,MY,77.65,broken clouds,2.5228,101.7959,Arang Inn Hotel
584,Male,MV,80.55,scattered clouds,4.1748,73.5089,Champa Central Hotel
589,Owando,CG,74.57,broken clouds,-0.4819,15.8999,Hotel de l'Eglise
591,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Ocean Centre Hotel
592,Dunedin,NZ,70.81,broken clouds,-45.8742,170.5036,Scenic Hotel Dunedin City
594,Poso,ID,82.35,overcast clouds,-1.3959,120.7524,Nusantara
597,Puerto Escondido,MX,81.43,broken clouds,15.85,-97.0667,Hotel Barlovento
600,Pangkalanbuun,ID,73.18,overcast clouds,-2.6833,111.6167,Hotel Tiara
603,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
609,Kang,BW,73.94,clear sky,-23.6752,22.7876,Nkisi Guest House
616,Santa Cruz,BO,84.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
617,Itai,BR,70.03,overcast clouds,-23.4178,-49.0906,Hotel Nixon
620,Palmares,BR,73.71,overcast clouds,-8.6833,-35.5917,Abrigo São Francisco
625,Ciudad Bolivar,VE,82.96,broken clouds,8.1222,-63.5497,Paoca
627,Port-Gentil,GA,76.96,few clouds,-0.7193,8.7815,Tara-Mé
630,Emerald,AU,80.35,clear sky,-23.5333,148.1667,Emerald Central Hotel
633,Rawson,AR,84.27,broken clouds,-43.3002,-65.1023,Hotel Deportivo
636,Neiafu,TO,86.68,light rain,-18.65,-173.9833,Port Wine Guest House
641,Hualmay,PE,71.46,light rain,-11.0964,-77.6139,Hotel Mi Choacan
643,Mersing,MY,78.71,few clouds,2.4312,103.8405,Mersing Inn Hotel
647,Ghanzi,BW,76.48,broken clouds,-21.5667,21.7833,Ghanzi farmhouse
651,Moron,AR,85.89,few clouds,-34.6534,-58.6198,La Esquina
657,Sorong,ID,81.55,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
658,Port Blair,IN,78.84,mist,11.6667,92.75,Andaman Ocean Breeze
659,Moyo,UG,78.03,broken clouds,3.6609,31.7247,Universal Lodge Moyo
660,Kununurra,AU,78.78,overcast clouds,-15.7667,128.7333,Kununurra Country Club Resort
665,Coffs Harbour,AU,71.56,broken clouds,-30.3,153.1333,The Coast Hotel
672,Pemba,MZ,79.5,few clouds,-12.974,40.5178,Hotel Rafael
675,Pisco,PE,73.45,clear sky,-13.7,-76.2167,La Portada
677,Salinopolis,BR,74.89,overcast clouds,-0.6136,-47.3561,Hotel Salinópolis
681,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Hotel California
683,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
690,Itarema,BR,76.95,light rain,-2.9248,-39.9167,Pousada Oásis
